2024-06-07 16:36:27,491 - INFO - Configuring Simulator
2024-06-07 16:36:27,496 - INFO - Running simulation of (0, '0', 'r')
2024-06-07 16:36:27,498 - INFO - Running simulation of (0, '1', 'r')
2024-06-07 16:36:27,499 - INFO - Running simulation of (0, '2', 'r')
2024-06-07 16:36:27,501 - INFO - Running simulation of (0, '3', 'r')
2024-06-07 16:36:27,503 - INFO - Running simulation of (0, '4', 'r')
2024-06-07 16:36:27,504 - INFO - Running simulation of (1, '0', 'r')
2024-06-07 16:36:27,506 - INFO - Running simulation of (1, '1', 'r')
2024-06-07 16:36:27,508 - INFO - Running simulation of (1, '2', 'r')
2024-06-07 16:36:27,510 - INFO - Running simulation of (1, '2', 'w')
2024-06-07 16:36:27,516 - INFO - Running simulation of (1, '3', 'w')
2024-06-07 16:36:27,522 - INFO - Running simulation of (0, '2', 'r')
2024-06-07 16:36:27,524 - INFO - Running simulation of (1, '1', 'r')
